S.No,Name of CCA,Village,Country,Location,Ecosystem Type,Communities,Year of Formation,Data Source,References,,,,,,,,,,,,,,,
175,Longya,"Chimonger, Tuensang",India,26.3035|94.681667,Forest,"Tribe: Sangtam, Dialect: Sangtam",2001,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
176,Longyong Lu,Aosungkum,India,26.504675|94.407715,Forest,,,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
177,Lopeco,"Phugi, Phek",India,25.747174|94.419851,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
178,Lora Lu,"Sungratsu, Mokokchung",India,26.389411|94.548789,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
179,Loto,"Rotomi Old & New, Zunheboto",India,26.076|94.431139,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
180,Luangthungbak,"Nzua village, Peren",India,25.316528|93.637528,Forest,"Tribe: Zeliang, Dialect: Liangmai",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
181,Luchelholuto Or Tukhaki,"Khekiye, Zunheboto",India,25.901222|94.553694,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
182,Lumuchu,"Yangzitong, Kiphire",India,25.948333|94.655833,Forest,"Tribe: Sangtam, Dialect: Sangtam",2001,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
183,Lurha,"Sangsomong, Tuensang",India,26.2188|94.661556,Forest,"Tribe: Sangtam, Dialect: Sangtam",2005,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
184,Lyagak Komnyu,"Longwa Wasa, Mon",India,26.660139|95.182778,Forest,"Tribe: Konyak, Dialect: Konyak & Longwa",2012,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
185,Mahsha,"Tamkoang, Mon",India,26.384352|94.984207,Forest,"Tribe: Konyak, Dialect: Konyak",2012,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
186,Mahuna Range,"Old Puilwa, Peren",India,25.594833|93.941056,Forest,"Tribe: Zeliang, Dialect: Zeliang",2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
187,Mahunatu,"Mpai, Peren",India,25.424367|93.7325,Forest,"Tribe: Zeliang, Dialect: Zeme",2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
188,Maniam,"Khelma, Peren",India,25.465111|93.412056,Forest,"Tribe: Kuki, Dialect: Kuki",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
189,Mankhoa,"Nokyan Village, Mon",India,26.892767|95.195183,Forest,"Tribe: Konyak, Dialect: Konyak",2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
190,Manpai,"Tumei, Mon",India,26.784306|95.069778,Forest,"Tribe: Konyak, Dialect: Konyak",2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
191,Mashiku,"Noksen, Tuensang",India,26.363278|94.700028,Forest,"Tribe: Chang, Dialect: Chang",1988,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
192,Mbengrei,"Mbaupungwa, Peren",India,25.40775|93.654861,Forest,"Tribe: Zeliang, Dialect: Zeliang",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
193,Mentsuo tongti,"Mungya, Wokha",India,26.086944|94.561944,Forest,"Tribe: Lotha, Dialect: Lotha",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
194,Mepughoki Hu,"Naghuto Old, Zunheboto",India,26.140778|94.502556,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
195,Meyitsbu Lu,"Asangma, Mokokchung",India,26.558667|94.592361,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
196,Miirhreihu,"Matikhrii, Phek",India,25.577694|94.575472,Forest,"Tribe: Pochury, Dialect: Pochury",2010,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
197,Miisiiriibo,"Chozuba village, Phek",India,25.718444|94.319528,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
198,Misizung,"Kizari, Phek",India,25.744056|94.580389,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",1996,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
199,Mitong reserve,"Metonger, Kiphire",India,25.888889|94.891389,Forest,"Tribe: Yimchunger, Dialect: Yimchunger and Chirr",2001,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
200,Moayimti,Medemyim,India,26.506223|94.358388,Forest,,,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
201,Moayimti,"Moayimti, Mokokchung",India,26.507918|94.366772,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
202,Mochang,"Kejok, Tuensang",India,26.276944|94.835278,Forest,"Tribe: Chang, Dialect: Chang",2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
203,Mongzu ki,"Mokokchung, Mokokchung",India,26.326797|94.531814,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
204,Motakyong,"Sotokur, Tuensang",India,26.189317|94.7634,Forest,"Tribe: Yimchunger, Dialect: Yimchunger",2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
205,Muilong,"Tening village, Peren",India,25.354639|93.604417,Forest,"Tribe: Zeliang, Dialect: Liangmai",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
206,Muradzukra,"Phek, Phek",India,25.664806|94.472778,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",1988,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
207,Muruto,"Tichipami, Zunheboto",India,26.183972|94.584333,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
208,Mushu auchem,"Nyinyem, Tuensang",India,26.296167|94.925528,Forest,"Tribe: Chang, Dialect: Chang",2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
209,Muthisukha,"Yoruba, Phek",India,25.740167|94.3425,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",1980,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
210,Muwasang,"Tsungtang, Kiphire",India,25.799167|94.964167,Forest,"Tribe: Sangtam, Dialect: Sangtam",2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
211,N-goulwatu,"New Peren, Peren",India,25.527278|93.677306,Forest,"Tribe: Zeliang, Dialect: Zeme",2012,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
212,Naidangkong,"Yajang A, Mokokchung",India,26.668111|94.556389,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
213,Nakba,"Tsg, Tuensang",India,26.234917|94.945167,Forest,"Tribe: Chang, Dialect: Chang",2005,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
214,Nanga Green Zone,"Limthsami, Zunheboto",India,26.181139|94.501861,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
215,Nanga Green Zone,"Surumi, Zunheboto",India,26.157861|94.576833,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
216,napangling,"Longting, Mon",India,26.888333|95.164083,Forest,"Tribe: Konyak, Dialect: Konyak",2011,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
217,Nashimer,"Mopungchuket, Mokokchung",India,26.390703|94.535508,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
218,Nato,"Mitsale, Phek",India,25.78475|94.433447,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",1998,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
219,Natsami,"Natsami, Kiphire",India,25.85725|94.712867,Forest,"Tribe: Sangtam, Dialect: Sangtam",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
220,Natusu,"Waromong, Mokokchung",India,26.558528|94.524311,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
221,Nbeina paulwa,"Lamhai, Peren",India,25.50675|93.742278,Forest,Tribe: Zeliang,2008,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
222,Nela Phang,"Tangha, Tuensang",India,26.604139|94.7775,Forest,"Tribe: Phom, Dialect: Phom",1980,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
223,New Njau,"New Njau, Peren",India,25.301056|93.61675,Forest,"Tribe: Zeliang, Dialect: Zeliang",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
224,New Poilwa ( Poilwa nemai ),"New Poilwa (Poilwa nemai), Peren",India,25.594833|93.941056,Forest,,2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
225,Ngade Forest,"Khezhakeno village, Phek",India,25.5135|94.207222,Forest,"Tribe: Chakhesang, Dialect: Khezha",2007,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
226,Ngaleng koal,"Old Chalkot, Peren",India,25.550028|93.638,Forest,"Tribe: Kuki, Dialect: Kuki",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
227,Ngaulo,"Songlhu, Peren",India,25.546|93.618056,Forest,"Tribe: Kuki, Dialect: Kuki",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
228,Ngaulo Tu,"Beisampuiram, Peren",India,25.524972|93.594861,Forest,"Tribe: Zeliang, Dialect: Zeliang",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
229,Ngaulo Tu,"Old Beisampui, Peren",India,25.513222|93.579778,Forest,"Tribe: Zeliang, Dialect: Zeliang",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
230,Ngummeta Lu,"Chuchuyimlang, Mokokchung",India,26.4985|94.646444,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
231,Ngwalwa village CCA,"Ngwalwa village, Peren",India,25.612528|93.819267,Forest,"Tribe: Zeliang, Dialect: Zeliang Dialect",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
232,Ngwraki Range,"Heiranglwa, Peren",India,25.5235|93.726222,Forest,"Tribe: Zeliang, Dialect: Zeme",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
233,Niathu Mount,"Tsiemekhuma Bawe & Basa, Kohima",India,25.883967|94.126611,Forest,"Tribe: Angami, Dialect: Tenyidie",1994,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
234,Niathu Mount,"Peers Club, Kohima",India,25.7852|94.12925,Forest,"Tribe: Angami, Dialect: Tenyidie",2012,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
235,Njambanu Lwa,"Nsong Village, Peren",India,25.320278|93.556056,Forest,"Tribe: Zeliang, Dialect: Zeme",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
236,Njauna,"Njauna, Peren",India,25.38231|93.622051,Forest,Tribe: Zeliang,-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
237,NJU Ramsa,"NJU, Peren",India,25.265556|93.613917,Forest,"Tribe: Zeliang, Dialect: Zeliang",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
238,Nkiokam,"Nkio 'B', Peren",India,25.442111|93.499583,Forest,"Tribe: Zeliang, Dialect: Zeliang",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
239,Nokhu Reserve,"Nokhu, Tuensang",India,26.149|94.025306,Forest,"Tribe: Khiamniungan, Dialect: Khiamniungan",1991,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
240,Noko Kunu,"Sumi, Phek",India,25.552983|94.396667,Forest,"Tribe: Chakhesang, Dialect: Sumi",2008,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
241,Nokying Khao,"Changnyu, Mon",India,26.462833|94.995028,Forest,"Tribe: Konyak, Dialect: Konyak",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
242,Nonnyu,"Chingkao Chingnyu, Mon",India,26.527306|95.049722,Forest,"Tribe: Konyak, Dialect: Chingkao",2011,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
243,Nraikau,"Nkialwa, Peren",India,25.427528|93.644528,Forest,"Tribe: Zeliang, Dialect: Zeme",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
244,Nreigimbak,"Upper Sinjol Village, Peren",India,25.447611|93.583556,Forest,"Tribe: Zeliang, Dialect: Zeme",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
245,Nsiuzam,"Nsenlo, Peren",India,25.4826|93.468031,Forest,"Tribe: Zeliang, Dialect: Zeliang",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
246,Nsong Bei Npuilwa,"Bamsiakeloa, Peren",India,25.3575|93.499806,Forest,"Tribe: Zeliang, Dialect: Zeme",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
247,NTU Ramsa,"NTU, Peren",India,25.244194|93.569278,Forest,Tribe: Zeliang,-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
248,Nuhosu Veku,"Dzulhami, Phek",India,25.82675|94.395194,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",1980,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
249,Nyaling,"Lapa, Mon",India,26.897917|95.034556,Forest,"Tribe: Konyak, Dialect: Konyak",2012,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
250,Nyama Lamthuk,"Phuktong, Mon",India,26.776737|95.043503,Forest,"Tribe: Konyak, Dialect: Konyak",2010,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
251,Nyikipung,"Sangtak, Tuensang",India,26.312833|94.734583,Forest,,1998,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
252,Nyokoh,"Jakphang, Mon",India,26.460072|94.931857,Forest,"Tribe: Konyak, Dialect: Konyak",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
253,Oke Menden,"Ungma, Mokokchung",India,26.294414|94.501869,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
254,Okham,"Angphong, Mon",India,26.498528|94.980667,Forest,"Tribe: Konyak, Dialect: Konyak",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
255,Okotso,"Okotso, Wokha",India,26.285011|94.339694,Forest,"Tribe: Lotha, Dialect: Lotha",2010,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
256,Old jalukie Biodiversity Conservation,"Old Jalukie Sector 'A', Peren",India,25.571306|93.762,Forest,"Tribe: Zeliang, Dialect: Zeliang",1986,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
257,Ongru Rabi,"Chungtia, Mokokchung",India,26.383861|94.444619,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
258,Ongshen,"Monakshu, Mon",India,26.439722|95.030889,Forest,"Tribe: Konyak, Dialect: Konyak",2010,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
259,Opeh,"Pessao, Mon",India,26.403556|95.047861,Forest,"Tribe: Konyak, Dialect: Konyak",2010,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
260,Padu,"Zelome, Phek",India,25.522611|94.335944,Forest,"Tribe: Chakhesang, Dialect: Poula",2001,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
261,Pakhong,"Chingmie, Tuensang",India,26.234917|94.945167,Forest,"Tribe: Chang, Dialect: Chang",2004,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
262,Pamjong,"S/Makok, Mon",India,26.628417|95.091389,Forest,"Tribe: Konyak, Dialect: Konyak & Makok",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
